session_id,video_id,animal,day,trial_label,group,target_hole,trial_start_s,primary_latency_s,total_latency_s,primary_errors,total_errors,path_length_cm,path_length_smoothed_cm,mean_speed_cm_per_s,target_quadrant_time_s,strategy,strategy_source,escaped,no_escape_confirmed,status,tracked_fraction,correction_count,hole_investigation_radius_factor,hole_investigation_min_duration_s,hole_investigation_merge_gap_s,escape_entry_radius_factor,escape_entry_min_duration_s,escape_entry_persist_cutoff_s,trial_cutoff_s,target_quadrant_hole_span,gap_fill_max_duration_s,nose_confidence_cutoff,outlier_velocity_threshold_cm_per_s,tool_version,schema_version,parameters_hash
Salk Demo,vid_01,1,1,1,1,2,5,84.533,,29,71,1248.5,1216.88,6.76,18.1,serial,auto,false,true,ok,0.7609502598366741,1,1.5,0.2,0.5,1,1,3,180,2.5,0.1,0.5,150,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_02,1,1,1,2,2,5.005,30.564,41.775,7,7,190.46,180.36,4.32,16.216,serial,auto,true,false,review,0.8740031897926634,1,1.5,0.2,0.5,1,1,3,180,2.5,0.1,0.5,150,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_03,1,2,1,1,2,5,3.867,,1,3,110.32,104.83,4.16,25.2,spatial,auto,false,false,review,0.7814569536423841,0,1.5,0.2,0.5,1,1,3,180,2.5,0.1,0.5,150,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
