session_id,video_id,tracked_fraction,not_detected_fraction,ambiguous_fraction,low_confidence_fraction,positioned_fraction,whole_clip_positioned_fraction,nose_judged_event_fraction,gap_count,longest_gap_s,duplicate_timestamp_count,dropped_frame_gap_count,drift_s,platform_diameter_cm,px_per_cm,tier,tool_version,schema_version,parameters_hash
Salk Demo,vid_01,0.7609502598366741,0,0,0.23904974016332592,1,0.9729192995125474,0.9166666666666666,0,0,201,214,0.433,92,4.5220219238631305,GOOD,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_02,0.8740031897926634,0.001594896331738437,0,0.12440191387559808,0.9984051036682615,0.844804318488529,1,1,0.067,24,23,-0.067,92,4.802790147081693,GOOD,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_03,0.7814569536423841,0,0,0.2185430463576159,1,0.8342541436464088,0.8,0,0,32,34,0.067,92,4.5220219238631305,GOOD,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
